Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"10/01/2024","4 COURT LAWN EAST, MANOR FARM, LEHENAGHBEG","Cork","T12W95T","�340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","4 MEADOW GROVE, THE MEADOWS, HOLLYHILL","Cork","T23KCC1","�200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","40 LA ROCHELLE, CHRISTCHURCH, DUBLIN","Dublin","D08W6K2","�380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","40 The Green, Bellevue, Delgany","Wicklow","","�537,444.93","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","42 ST MOCHTAS GREEN, COOLMINE, DUBLIN 15","Dublin","D15W8P9","�380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","43 THE BRAMBLINGS, KILLESTER, DUBLIN 5","Dublin","D05RX46","�650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","47 DRUMBANNON, BAILEBOROUGH, CAVAN","Cavan","A82R2A0","�180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","47 GARDEN VILLAGE COURT, KILPEDDER, VILLAGE COURT","Wicklow","A63E132","�50,490.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","5 BELL HARBOUR, MONASTEREVIN, CO. KILDARE","Kildare","W34AE28","�170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","5 ELLENSBOROUGH LAWN, KILTIPPER RD, DUBLIN 24","Dublin","D24N2RF","�510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","5 LISSEN HALL PARK, SEATOWN RD, SWORDS","Dublin","K67NW44","�452,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","56  Lisnagar Gardens, Rathcormac","Cork","","�387,665.19","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","57 Maryborough Village, Poertlaoise","Laois","","�290,748.90","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","59 DEERPARK, FRIARS WALK, CORK","Cork","T12VFT9","�595,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","6 EARLWOOD SCARLETST, DROGHEDA, LOUTH","Louth","A92YRX2","�195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","6 HIGHLAND PARK, KILKELLY, MAYO","Mayo","F35PF96","�115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","6 MAPLE AVENUE, Foxborough, Portlaoise","Laois","","�339,207.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","60 NEWTOWN PARK, CASTLETROY, LIMERICK","Limerick","V94YR79","�265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","62 DALCASSIAN DOWNS, GLASNEVIN, DUBLIN CITY","Dublin","D11WY20","�585,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","65 BELGROVE LAWN, CHAPELIZOD, DUBLIN 20","Dublin","D20XY47","�660,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","68 TOLKA VALE, FINGLAS RD, DUBLIN 11","Dublin","D11H394","�260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","7 MAPLE COURT, THOMAS KENT ST, COBH","Cork","P24E021","�245,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","7 RATH LODGE, ASHBOURNE, MEATH","Meath","A84CF74","�700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","73 The Elms, Avourwen, Drogheda","Meath","","�281,938.32","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","78 Glen Boann, Donacarney","Meath","","�299,559.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","79 The Elms, Avourwen, Drogheda","Meath","","�308,370.04","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","7, Dunalley Drive, Redwood Clara Road","Offaly","","�325,110.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","8 Amharc Abhann, Knockhill, Ennis Road","Limerick","","�351,541.85","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","8 CANTERBROOK, TRIM ROAD, NAVAN","Meath","C15P9P6","�400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","8 CASHELMORE, KNOCKNACARRA, GALWAY","Galway","H91H265","�997,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","84 PRIORS GATE, GREENHILLS RD EXTENSION, TALLAGHT DUBLIN 24","Dublin","D24A439","�270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","88 THE MEADOWS, MORRISTOWNBILLER, CORNELSCOURT","Kildare","W12K634","�343,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","89 SILVERLAWN, NAVAN, MEATH","Meath","C15Y2T5","�305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","9 EAGLE HILL, BLACKROCK, DUBLIN","Dublin","A94W0Y7","�460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","9 RIVERSIDE GROVE, BALLINA, CO MAYO","Mayo","F26F3C8","�75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","9 ST CLARES AVE, HAROLDS CROSS, DUBLIN 6 W","Dublin","D6WFX06","�450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","9 The Avenue, Mount Stewart, Stradbally Road","Laois","","�324,375.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","91 Newtown Wood, Termonfeckin Road, Drogheda","Louth","","�330,396.48","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","AISHLING, CLONBUR, CO GALWAY","Galway","F12AK54","�270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","ANNAGH, BLENERVILLE, TRALEE","Kerry","","�230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","ANNESGROVE HOUSE, BLACKWATER, CLARE","Clare","","�400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","APARTMENT 1 THE HARBOUR, BARRACK STREET, BELMULLET","Mayo","F26ET78","�80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","APT 1, 89 ST STEPHENS GREEN, DUBLIN 2","Dublin","D02CV96","�595,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","APT 40 CORR CASTLE, SUTTON, DUBLIN 13","Dublin","D13PY28","�925,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","APT 49 MONKSFIELD BEALNAMUL, ATHLONE, ROSCOMMON","Roscommon","N37RW58","�180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","APT 4, VICTORIA HOUSE, HADDINGTON RD DUBLIN 4","Dublin","D04A663","�385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","ARD CRAIG, BALLINASKELLIGS, KERRY","Kerry","","�725,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","ASHGROVE, KILDANGAN, KILDARE","Kildare","","�410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","BALLINAMORE, CLOGHAN, CO DONEGAL","Donegal","F93PF88","�45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","BALLYDOYLE, DONEGAL","Donegal","","�220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","CARRICK RD, KILCAR, DONEGAL","Donegal","F94A0E9","�100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","CHARLESFIELD, LYRE, BANTEER","Cork","P51T9X9","�115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","CLONGEEN, FOULKSMILLS, CO. WEXFORD","Wexford","","�70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","CORBOY, EDGEWORTHSTOWN, CO. LONGFORD","Longford","N39T224","�130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","CORTOBER, DRUM, MONAGHAN","Monaghan","","�100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","DEERPARK, CASTLELYONS, FERMOY","Cork","","�420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","DRUMBILLA, KILCURRY, DUNDALK","Louth","A91Y6CC","�36,472.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","FURRIGAL, KILSALLAGH, WESTPORT","Mayo","F28PF57","�316,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","GARDENSTOWN, CARRICK ON SHANNON, ROSCOMMON","Roscommon","N41XF25","�280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","KILLARNEY RD, CASTLEISLAND, KERRY","Kerry","V92AW20","�200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","MAIN ST, KILMIHIL, CLARE","Clare","V15E364","�90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","MARIANNA, 8A CONVENT RD, DALKEY","Dublin","A96DD58","�1,050,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","MARKET ST, BALLYJAMESDUFF, CO CAVAN","Cavan","A82E4E1","�70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","MEADOW VIEW, CREIGHANS, GLASLOUGH","Monaghan","H18PN32","�350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","NEWTOWN, CLOGHANS, BALLINA","Mayo","F26W5YH","�340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","No. 47 Maolchnoc, Ballymoneen Road, Knocknacarra","Galway","","�294,792.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2024","RAHABERNA, DRUM, SLIGO","Sligo","F91FH67","�440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","RHYNMOUNT, CLOONDARA, CO LONGFORD","Longford","N39Y571","�125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","STICKILLEN, ARDEE, LOUTH","Louth","","�265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","TAWNAGH EAST, KINVARA, CO. GALWAY","Galway","H91VYY0","�280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","THE BEACH HOUSE, INISH TURBOT ISLAND (OFF CLIFDEN), CO GALWAY","Galway","","�255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","THE COTTAGE, 44 BROOKFIELD PLACE, BLACKROCK","Dublin","A63FH50","�760,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","THE GREEN, SUMMERHILL, MEATH","Meath","","�55,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","THE HOLLY BUSH, ROSE ST, UPPER KILMACOW","Kilkenny","X91NX46","�215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","TUITERATH, BALRATH, NAVAN","Meath","","�300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","UPPER FORGE, WOODFORD, COUNTY GALWAY","Galway","","�45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","URLEE CLOSE, LISSELTON, LISTOWEL","Kerry","V31Y429","�310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2024","WYANSTOWN, OLDTOWN, CO. DUBLIN","Dublin","A45NY98","�425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","06 Parkleigh Road, Seven mills, Clonburris","Dublin","","�419,444.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","1 CLAIRMOUNT RISE, ROCKCORRY, MONAGHAN","Monaghan","H18XK35","�105,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","1 STREAMSTOWN, DUNSHAUGHLIN ROAD, RATOATH","Meath","A85HA22","�405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","1 SUTTON PARK, SUTTON, DUBLIN 13","Dublin","D13K4P9","�871,210.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","105 BALLSBRIDGE WOOD, SHELBOURNE RD, BALLSBRIDGE DUBLIN 4","Dublin","D04R628","�895,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","106 THE FAYTHE, FAYTHE, WEXFORD","Wexford","Y35V2C2","�232,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","106 THE RECTORY, ENNISKERRY RD, STEPASIDE","Dublin","D18T711","�350,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","108 HILLVIEW, DROGHEDA, LOUTH","Louth","A92WFW6","�235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","11 ROCKVIEW, DEERPARK, CASHEL","Tipperary","E25H327","�160,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","114 FRENCHPARK, ORANMORE, GALWAY","Galway","H91EH76","�282,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","114 MOUNT TALLANT AVE, TERENURE, DUBLIN 6W","Dublin","D6WYR50","�445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","12 CHURCHFIELDS, K CLUB, STRAFFAN","Kildare","W23AK24","�3,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","12 GRATTAN LODGE APTS, GRATTAN LODGE, THE HOLE IN THE WALL RD DUBLIN 13","Dublin","D13K076","�280,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","12 RAILWAY COURT, MALAHIDE, DUBLIN","Dublin","K36FP60","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","127 KYLEMORE DR, BALLYFERMOT, DUBLIN 10","Dublin","D10XT59","�323,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","127 MCDERMOTT RD, CORK RD, WATERFORD","Waterford","X91R2YY","�73,313.68","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","128 BELMAYNE, BALGRIFFIN, DUBLIN 13","Dublin","D13R729","�386,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","13 GREENLODGE, MARYBOROUGH WOODS, DOUGLAS","Cork","T12DC7H","�331,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","13 Lakeview, Foxmeadows, Kilkenny","Kilkenny","","�402,225.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","13 PARKSIDE BOULEVARD, PARKSIDE, MALAHIDE ROAD","Dublin","D13TX6D","�575,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","14 COIS CLODAIGH, BELMULLET, CO. MAYO","Mayo","F26D267","�170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","14 SAUNDERS COURT, MULLINGAR, WESTMEATH","Westmeath","N91A262","�237,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","16 AN MHAINISTIR, LAKEVIEW, BAILE CHLAIR","Galway","H91X7YW","�290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","16 COIS MARA, DUNGARVAN, WATERFORD","Waterford","X35AK53","�325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","16 DUN OIR AVENUE, GLENAMUCK ROAD, KILTERNAN","Dublin","","�541,850.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","19 CLUAIN AOIBHINN, LR SWELLAN, CAVAN","Cavan","H12DY89","�238,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","19 THE STRAND, NORTH STRAND RD, DUBLIN 3","Dublin","D03NX61","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","2 GLENTHORN, KILLARNEY RD, BRAY","Wicklow","A98P232","�453,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","2 GREEN LANE, OFF NEW ST, KILLARNEY","Kerry","V93HW2H","�161,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","2 MARTELLO VIEW, STRAND RD, SANDYMOUNT DUBLIN 4","Dublin","D04N8F5","�700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","20 Aderrig Green, Adamstown, Lucan","Dublin","","�348,018.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","20 AYRFIELD MANOR, CARRICK ON SHANNON, LEITRIM","Leitrim","N41A267","�143,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","20 Leana Mor, Cappagh Road","Galway","","�290,748.89","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","21 ASHLEY GARDENS, BORRIS RD, PORTLAOISE","Laois","R32E7KK","�279,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","21 MONTFORT, MONAGHAN, MONAGHAN","Monaghan","H18KX07","�245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","22 KILASHEE VIEW, KILCULLEN RD, NAAS","Kildare","W91HP5C","�782,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","22 The Close, Ballycullen Gate, Ballycullen","Dublin","","�440,528.63","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","25 CHERRY PARK RATHINGLE SWORDS, DUBLIN","Dublin","K67H685","�385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","25 Cluain Bui, Quinagh, Carlow","Carlow","R93FC6V","�105,726.87","Yes","Yes","New Dwelling house /Apartment",""
"11/01/2024","25 MOUNTAIN VIEW PARK, KILLORGLIN, CO KERRY","Kerry","V93Y8X2","�210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","26 Cluain Bui, Quinagh, Carlow","Carlow","R93A52Y","�105,726.87","Yes","Yes","New Dwelling house /Apartment",""
"11/01/2024","26 THE MOORINGS, PORTOBELLO HARBOUR, DUBLIN 8","Dublin","D08EF43","�380,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","27 ST LAURENCES PARK, WICKLOW, WICKLOW","Wicklow","A67K209","�532,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","28 THE COURTYARD, FOTO ISLAND RESORT, CO CORK","Cork","T45YK72","�350,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","29 Dromkeen View, Church Hill, Innishannon","Cork","","�394,272.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","29 THE GREEN, AN GLAS�N, GREENVILLE","Wexford","Y21HPR4","�275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","3 BARRYS COURT BARRYS BOLEEN, FERMOY, CORK","Cork","P61PN59","�447,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","3 ST DOMHNACHS WELL, BALDOYLE RD, SUTTON DUBLIN 13","Dublin","D13V9V9","�470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","30 CLUAIN ALAINN, CARRAIGALLEN, LEITRIM","Leitrim","H12YV25","�140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","31 MAYWOOD LAWN, RAHENY, DUBLIN 5","Dublin","D05YV09","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","32 ARDGLASS BALTINGLASS, BALTINGLASS, WICKLOW","Wicklow","W91K663","�305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","340 CARRINGTON, NORTHWOOD, SANTRY DUBLIN 9","Dublin","D09X6H6","�315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","36 KIRWAN ST COTTAGES, STONEYBATTER, DUBLIN 7","Dublin","D07PD78","�300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","38 BISCAYNE, MALAHIDE, DUBLIN","Dublin","K36TY44","�845,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","4 BELGARD GREEN, TALLAGHT, DUBLIN 24","Dublin","D24YCN3","�388,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","409 GALLOPING GREEN, STILLORGAN RD, DUBLIN","Dublin","A94C568","�87,216.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","42 THE OAKS, RATHNEW, COUNTY WICKLOW","Wicklow","A67R232","�435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","42 WILLIAMSTOWN GLEN, WATERFORD, WATERFORD","Waterford","X91K4KE","�175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","43 TERENURE PARK, TERENURE, DUBLIN 6W","Dublin","D6WFW74","�882,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","44 RIVER VILLAGE, MONKSLAND, ATHLONE","Roscommon","N37R8Y1","�190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","46 STILLOGAN GATE, UPPER KIMACUD ROAD, DUBLIN","Dublin","","�735,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","48 BAILIS MANOR, ATHLUMNEY, NAVAN","Meath","C15N7E8","�405,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","48 ST MOBHI RD, GLASNEVIN, DUBLIN 9","Dublin","D09TX94","�560,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","5 CARTRON DR, ATHLONE, WESTMEATH","Westmeath","N37F886","�267,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","5 LOHUNDA RD, CLONSILLA, DUBLIN 15","Dublin","D15NY6R","�375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","5 OLD ATHLUMNEY MANOR, OLD ATHLUMNEY RD, NAVAN","Meath","C15FYN7","�650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","5 SYCAMORE COURT, 192A NEW CABRA ROAD, DUBLIN 7","Dublin","A96A624","�255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","5 WALTRIM GROVE, KILLARNEY RD, BRAY","Wicklow","A98CR64","�327,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","50 COLLEGE VIEW, BALLYMUN, DUBLIN 11","Dublin","D11PDW2","�235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","50 THE MANOR, CLONDULANE, FERMOY","Cork","P61NW82","�220,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","51THE TIMBER MILL, ARTANE, DUBLIN 3","Dublin","D05TD27","�315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","53 SEAFIELD, RIVERSTOWN, TRAMORE","Waterford","X91PF64","�145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","55 LOWER YELLOW RD, YELLOW RD, WATERFORD","Waterford","X91D9FW","�165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","55 ST FINTANS VILLAS, DEANS GRANGE, BLACKROCK","Dublin","A94C7R6","�515,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","58 OLCOVAR, SHANKILL, DUBLIN 18","Dublin","D18WY99","�570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","59 Maryborough Village, Portlaoise","Laois","","�290,748.90","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","6 CHURCH STREET, GRAIGUECULLEN, CO. CARLOW","Carlow","R93XH97","�175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","6 MERRIMAN COURT, ARDNACULLA, ENNISTYMON","Clare","V95WN63","�265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","6 MOYARAGH CLOSE, BALBRIGGAN, DUBLIN","Dublin","K32P803","�220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","6 WILLOWBANK, BLACKWATER, WEXFORD","Wexford","Y21DW97","�235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","68 BARROWVALE, PORTLAISE ROAD, GRAIGUECULLEN  CARLOW","Laois","R93C9P0","�245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","7 BEECHMOUNT DR, CLONSKEAGH, DUBLIN 14","Dublin","D14YA89","�760,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","7 CRONANS WELL CLOSE, RATHBEALE ROAD, MOORETOWN","Dublin","K67N9D0","�414,096.92","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","7 PAROCHIAL AVE, BALDOYLE, DUBLIN 13","Dublin","D13X6V9","�475,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","7 The Heights, Cluain Glasan, Ayrfield","Kilkenny","","�330,396.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","70 TIRCROGHAN MULLINGAR RD, KINNEGAD, WESTMEATH","Westmeath","N91T851","�290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","74 The Elms, Avourwen, Drogheda","Meath","","�281,938.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","8 Aderrig Court, Adamstown, Lucan","Dublin","","�422,907.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","9 CLOUGHVALLEY UPPER, CARRICKMACROSS, MONAGHAN","Monaghan","A81X958","�260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","9 MCCURTAIN HILL, CLONAKILTY, CO. CORK","Cork","P85C953","�185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","96 FIODH MOR, ABBEYLANDS, FERRYBANK","Kilkenny","X91AFX3","�218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","ABBEY LODGE, CONFEY, LEIXLIP","Kildare","W23K2NX","�564,798.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","ADOON, GORVAGH, LEITRIM","Leitrim","N41EY27","�220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","ANEY HOUSE, EMLY RD, KNOCKLONG","Limerick","V35HR77","�122,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","Apartment 5, L�ana M�r, Cappagh Road","Galway","","�286,343.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","APT 12 BLOCK 4 THE MOYLE, PROSPECT HILL, FINGLAS","Dublin","","�57,031.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 14, BELVILLE, AILESBURY RD DUBLIN 4","Dublin","","�330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 25 BLOCK 4 THE MOYLE, PROSPECT HILL, FINGLAS","Dublin","D11CD68","�51,137.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 33, COVA DA IRIA, 105 UPPER SALTHILL","Galway","H91Y2XP","�524,317.18","No","Yes","New Dwelling house /Apartment",""
"11/01/2024","APT 33, ROSEDALE, TYRCONNELL ST","Dublin","D08CH01","�25,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 4 GORTOOLAN, BALLYCONNELL, CO CAVAN","Cavan","H14RX75","�80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 513 - LONGBOAT QUAY SOUTH, HANOVER QUAY, DUBLIN 2","Dublin","D02XA39","�600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2024","APT 6, 52 MOUNTJOY SQ, DUBLIN 1","Dublin","D01V588","�225,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
